Data from Wattsight.com
Updated:,2022-03-15T08:34:34.394
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,MIN15,Timezone:,CET
Comment:
Date,pro uk spv mwh/h cet min15 a
2022-02-17T00:00:00,0
2022-02-17T00:15:00,0
2022-02-17T00:30:00,0
2022-02-17T00:45:00,0
2022-02-17T01:00:00,0
2022-02-17T01:15:00,0
2022-02-17T01:30:00,0
2022-02-17T01:45:00,0
2022-02-17T02:00:00,0
2022-02-17T02:15:00,0
2022-02-17T02:30:00,0
2022-02-17T02:45:00,0
2022-02-17T03:00:00,0
2022-02-17T03:15:00,0
2022-02-17T03:30:00,0
2022-02-17T03:45:00,0
2022-02-17T04:00:00,0
2022-02-17T04:15:00,0
2022-02-17T04:30:00,0
2022-02-17T04:45:00,0
2022-02-17T05:00:00,0
2022-02-17T05:15:00,0
2022-02-17T05:30:00,0
2022-02-17T05:45:00,0
2022-02-17T06:00:00,0
2022-02-17T06:15:00,0
2022-02-17T06:30:00,1
2022-02-17T06:45:00,1
2022-02-17T07:00:00,1
2022-02-17T07:15:00,1
2022-02-17T07:30:00,0
2022-02-17T07:45:00,0
2022-02-17T08:00:00,8
2022-02-17T08:15:00,8
2022-02-17T08:30:00,258
2022-02-17T08:45:00,258
2022-02-17T09:00:00,1110
2022-02-17T09:15:00,1110
2022-02-17T09:30:00,1980
2022-02-17T09:45:00,1980
2022-02-17T10:00:00,2640
2022-02-17T10:15:00,2640
2022-02-17T10:30:00,3040
2022-02-17T10:45:00,3040
2022-02-17T11:00:00,3340
2022-02-17T11:15:00,3340
2022-02-17T11:30:00,4040
2022-02-17T11:45:00,4040
2022-02-17T12:00:00,4260
2022-02-17T12:15:00,4260
2022-02-17T12:30:00,4320
2022-02-17T12:45:00,4320
2022-02-17T13:00:00,4380
2022-02-17T13:15:00,4380
2022-02-17T13:30:00,4500
2022-02-17T13:45:00,4500
2022-02-17T14:00:00,3730
2022-02-17T14:15:00,3730
2022-02-17T14:30:00,3410
2022-02-17T14:45:00,3410
2022-02-17T15:00:00,3000
2022-02-17T15:15:00,3000
2022-02-17T15:30:00,2560
2022-02-17T15:45:00,2560
2022-02-17T16:00:00,2360
2022-02-17T16:15:00,2360
2022-02-17T16:30:00,1450
2022-02-17T16:45:00,1450
2022-02-17T17:00:00,743
2022-02-17T17:15:00,743
2022-02-17T17:30:00,174
2022-02-17T17:45:00,174
2022-02-17T18:00:00,7
2022-02-17T18:15:00,7
2022-02-17T18:30:00,0
2022-02-17T18:45:00,0
2022-02-17T19:00:00,0
2022-02-17T19:15:00,0
2022-02-17T19:30:00,0
2022-02-17T19:45:00,0
2022-02-17T20:00:00,0
2022-02-17T20:15:00,0
2022-02-17T20:30:00,0
2022-02-17T20:45:00,0
2022-02-17T21:00:00,0
2022-02-17T21:15:00,0
2022-02-17T21:30:00,0
2022-02-17T21:45:00,0
2022-02-17T22:00:00,0
2022-02-17T22:15:00,0
2022-02-17T22:30:00,0
2022-02-17T22:45:00,0
2022-02-17T23:00:00,0
2022-02-17T23:15:00,0
2022-02-17T23:30:00,0
2022-02-17T23:45:00,0
2022-02-18T00:00:00,0
2022-02-18T00:15:00,0
2022-02-18T00:30:00,0
2022-02-18T00:45:00,0
2022-02-18T01:00:00,0
2022-02-18T01:15:00,0
2022-02-18T01:30:00,0
2022-02-18T01:45:00,0
2022-02-18T02:00:00,0
2022-02-18T02:15:00,0
2022-02-18T02:30:00,0
2022-02-18T02:45:00,0
2022-02-18T03:00:00,0
2022-02-18T03:15:00,0
2022-02-18T03:30:00,0
2022-02-18T03:45:00,0
2022-02-18T04:00:00,0
2022-02-18T04:15:00,0
2022-02-18T04:30:00,0
2022-02-18T04:45:00,0
2022-02-18T05:00:00,0
2022-02-18T05:15:00,0
2022-02-18T05:30:00,0
2022-02-18T05:45:00,0
2022-02-18T06:00:00,0
2022-02-18T06:15:00,0
2022-02-18T06:30:00,0
2022-02-18T06:45:00,0
2022-02-18T07:00:00,0
2022-02-18T07:15:00,0
2022-02-18T07:30:00,1
2022-02-18T07:45:00,1
2022-02-18T08:00:00,0
2022-02-18T08:15:00,0
2022-02-18T08:30:00,30
2022-02-18T08:45:00,30
2022-02-18T09:00:00,325
2022-02-18T09:15:00,325
2022-02-18T09:30:00,922
2022-02-18T09:45:00,922
2022-02-18T10:00:00,1600
2022-02-18T10:15:00,1600
2022-02-18T10:30:00,2500
2022-02-18T10:45:00,2500
2022-02-18T11:00:00,2500
2022-02-18T11:15:00,2500
2022-02-18T11:30:00,2120
2022-02-18T11:45:00,2120
2022-02-18T12:00:00,1910
2022-02-18T12:15:00,1910
2022-02-18T12:30:00,1940
2022-02-18T12:45:00,1940
2022-02-18T13:00:00,2140
2022-02-18T13:15:00,2140
2022-02-18T13:30:00,2360
2022-02-18T13:45:00,2360
2022-02-18T14:00:00,3000
2022-02-18T14:15:00,3000
2022-02-18T14:30:00,3090
2022-02-18T14:45:00,3090
2022-02-18T15:00:00,2840
2022-02-18T15:15:00,2840
2022-02-18T15:30:00,2170
2022-02-18T15:45:00,2170
2022-02-18T16:00:00,1780
2022-02-18T16:15:00,1780
2022-02-18T16:30:00,1370
2022-02-18T16:45:00,1370
2022-02-18T17:00:00,692
2022-02-18T17:15:00,692
2022-02-18T17:30:00,279
2022-02-18T17:45:00,279
2022-02-18T18:00:00,29
2022-02-18T18:15:00,29
2022-02-18T18:30:00,0
2022-02-18T18:45:00,0
2022-02-18T19:00:00,2
2022-02-18T19:15:00,2
2022-02-18T19:30:00,0
2022-02-18T19:45:00,0
2022-02-18T20:00:00,0
2022-02-18T20:15:00,0
2022-02-18T20:30:00,0
2022-02-18T20:45:00,0
2022-02-18T21:00:00,0
2022-02-18T21:15:00,0
2022-02-18T21:30:00,0
2022-02-18T21:45:00,0
2022-02-18T22:00:00,0
2022-02-18T22:15:00,0
2022-02-18T22:30:00,0
2022-02-18T22:45:00,0
2022-02-18T23:00:00,0
2022-02-18T23:15:00,0
2022-02-18T23:30:00,0
2022-02-18T23:45:00,0
2022-02-19T00:00:00,0
2022-02-19T00:15:00,0
2022-02-19T00:30:00,0
2022-02-19T00:45:00,0
2022-02-19T01:00:00,0
2022-02-19T01:15:00,0
2022-02-19T01:30:00,0
2022-02-19T01:45:00,0
2022-02-19T02:00:00,0
2022-02-19T02:15:00,0
2022-02-19T02:30:00,0
2022-02-19T02:45:00,0
2022-02-19T03:00:00,0
2022-02-19T03:15:00,0
2022-02-19T03:30:00,0
2022-02-19T03:45:00,0
2022-02-19T04:00:00,0
2022-02-19T04:15:00,0
2022-02-19T04:30:00,0
2022-02-19T04:45:00,0
2022-02-19T05:00:00,0
2022-02-19T05:15:00,0
2022-02-19T05:30:00,0
2022-02-19T05:45:00,0
2022-02-19T06:00:00,0
2022-02-19T06:15:00,0
2022-02-19T06:30:00,0
2022-02-19T06:45:00,0
2022-02-19T07:00:00,1
2022-02-19T07:15:00,1
2022-02-19T07:30:00,0
2022-02-19T07:45:00,0
2022-02-19T08:00:00,22
2022-02-19T08:15:00,22
2022-02-19T08:30:00,331
2022-02-19T08:45:00,331
2022-02-19T09:00:00,1060
2022-02-19T09:15:00,1060
2022-02-19T09:30:00,1440
2022-02-19T09:45:00,1440
2022-02-19T10:00:00,1200
2022-02-19T10:15:00,1200
2022-02-19T10:30:00,952
2022-02-19T10:45:00,952
2022-02-19T11:00:00,857
2022-02-19T11:15:00,857
2022-02-19T11:30:00,733
2022-02-19T11:45:00,733
2022-02-19T12:00:00,762
2022-02-19T12:15:00,762
2022-02-19T12:30:00,880
2022-02-19T12:45:00,880
2022-02-19T13:00:00,869
2022-02-19T13:15:00,869
2022-02-19T13:30:00,1170
2022-02-19T13:45:00,1170
2022-02-19T14:00:00,1620
2022-02-19T14:15:00,1620
2022-02-19T14:30:00,1860
2022-02-19T14:45:00,1860
2022-02-19T15:00:00,2060
2022-02-19T15:15:00,2060
2022-02-19T15:30:00,1900
2022-02-19T15:45:00,1900
2022-02-19T16:00:00,1900
2022-02-19T16:15:00,1900
2022-02-19T16:30:00,1450
2022-02-19T16:45:00,1450
2022-02-19T17:00:00,850
2022-02-19T17:15:00,850
2022-02-19T17:30:00,260
2022-02-19T17:45:00,260
2022-02-19T18:00:00,27
2022-02-19T18:15:00,27
2022-02-19T18:30:00,0
2022-02-19T18:45:00,0
2022-02-19T19:00:00,0
